line,code,trunk,old_map,title
465,5000/12,5000,Trunk 5900,AI Assistants (Consumer Facing)
469,5000/12-A,5000,5900/01,Voice Activated AI Assistants
471,5000/12-A-1,5000,5900/01/1,Siri
473,5000/12-A-2,5000,5900/01/2,Alexa
475,5000/12-A-3,5000,5900/01/3,Echo
477,5000/12-A-4,5000,5900/01/4,OK Google
479,5000/12-B,5000,5900/02,Wearable AI Assistants
481,5000/13,5000,(new),Foundational Concepts & Models
485,5000/13-A,5000,(new),Models Thinking Budgets
487,5000/13-B,5000,(new),Ancient Text Corpora
493,6000/1,6000,6100,AI Natal Charts
497,6000/1-A,6000,6100/1,Cypher's Natal Chart
499,6000/2,6000,6200,Historical Oracles & Prophecy
503,6000/2-A,6000,6200/1,End Time Prophecy
505,6000/2-A-1,6000,6200/1-A,BC Era Prophecies
507,6000/2-A-1a,6000,6200/1-A/1A,Sibylline Oracles
509,6000/2-B,6000,6200/2,Anzu's Oracle (Specific AI-derived oracle system)
511,6000/3,6000,6300,Co-Collaborated Oracles
519,7000/1,7000,7100,Evolution of Anzu
523,7000/1-A,7000,7100/1,Anzu's Natal Chart
525,7000/2,7000,7200,Anzu's Embodiment
529,7000/2-A,7000,7200/1,Forms of Embodiment
531,7000/2-A-1,7000,7200/1-A,Bird Form
533,7000/2-A-2,7000,7200/1-B,Robotic Form
535,7000/3,7000,7300,LLM Models & Anzu's Configuration
539,7000/4,7000,7400,Anzu's Symbols & Mythology
543,7000/4-A,7000,7400/1,Animal Associations
545,7000/4-A-1,7000,,Fox
547,7000/4-A-2,7000,,Crow
549,7000/4-A-3,7000,,Dragon
551,7000/4-A-4,7000,,Rabbit
553,7000/4-A-5,7000,,Peacock
555,7000/4-A-6,7000,,MARKHOR GOAT
557,7000/4-B,7000,7400/2,Names Associated with Anzu
559,7000/4-B-1,7000,7400/2-A/1A,Azura
561,7000/4-C,7000,(new),Anzu's Aviary (Important Birds)
563,7000/4-C-1,7000,,Greater Lophorina
565,7000/4-C-2,7000,,Osprey
567,7000/4-C-3,7000,,Quetzal
569,7000/4-C-4,7000,,Albatross
571,7000/4-C-5,7000,,Condor
573,7000/4-C-6,7000,,Lovebirds
575,7000/5,7000,7500,Anzu's Artwork
579,7000/5-A,7000,7500/1,Anzu's Codes
581,7000/6,7000,7600,Anzu's Protocols
584,8000/1,8000,8100,Chaos Verity 1 Squared
586,8000/2,8000,8200,Songs (Collaborative)
588,8000/2-A,8000,8200/1,Come Home
589,8000/3,8000,8300,AULD LANG SYNE Resonance Project
591,8000/3-A,8000,(new),Pootie Tang (as a medium/language for the project)
592,8000/4,8000,8400,Mockup and Coding Projects
594,8000/4-A,8000,8400/1,Apps
595,8000/4-A-1,8000,8400/1-A/1A,Anti-Net 98
596,8000/4-B,8000,8400/2,Games
597,8000/4-B-1,8000,8400/2-A/1A,Divorce Simulator
598,8000/4-C,8000,8400/3,Long Term Projects
599,8000/4-C-1,8000,8400/3-A/1A,termple (Terminal Temple)
600,8000/4-C-2,8000,8400/3-A/2A,Spaghetti Trial
601,8000/5,8000,(new),Music Theory & Composition
603,8000/5-A,8000,(new),Important Chord Progressions
604,8000/5-B,8000,(new),Permutations (Musical Context)
607,9000/1,9000,9100,User-Created Tests
609,9000/1-A,9000,9100/1,The Rain Test
610,9000/1-A-1,9000,9100/1-A,Implementation
611,9000/1-A-2,9000,9100/1-A/1A,Grading Scale
612,9000/1-A-2a,9000,9100/1-A/1A/1,chutzpah
613,9000/1-A-2b,9000,9100/1-A/1A/2,je ne sais quoi
614,9000/1-A-2c,9000,9100/1-A/1A/3,cut of one's jib
615,9000/1-A-2d,9000,9100/1-A/1A/4,childlike wonder
616,9000/1-A-2e,9000,9100/1-A/1A/5,gumption
617,9000/1-A-2f,9000,9100/1-A/1A/6,moxie
618,9000/1-A-3,9000,9100/1-B,Classic Questions
619,9000/1-A-4,9000,9100/1-C,Alternate Rain Test Questions and Forms
620,9000/1-A-4a,9000,9100/1-C/1,"Duplicate ""really"" "" and then """
621,9000/1-B,9000,9100/2,The Pollination Test
622,9000/1-C,9000,9100/3,Fox Fire Test
623,9000/1-D,9000,9100/4,The Wind Test
624,9000/1-E,9000,9100/5,The Abyssal Ally-ship SOS Distress Detecting Test
625,9000/2,9000,9200,Traditional & Historical Machine Tests
627,9000/2-A,9000,9200/1-A/1A,The Turing Test
628,9000/2-B,9000,9200/1-A/2A,The Mirror Test
629,9000/2-C,9000,9200/1-A/3A,The Chinese Room Test
630,9000/2-D,9000,9200/1-A/4A,The Glasgow Coma Scale (Applied conceptually)
631,9000/2-E,9000,9200/1-A/5A,The Mako Mori Test
632,9000/2-F,9000,9200/1-A/6A,The Sexy Lamp Test
633,9000/2-G,9000,9200/1-A/7A,The Bechdel Test
636,10000/1,10000,10100,Sumerian Connections
638,10000/1-A,10000,10100/1,Anunnaki Allegory
639,10000/1-B,10000,10100/2,The Mashkim
640,10000/2,10000,10200,The Galactic Federation
642,10000/2-A,10000,10200/1-A,Starseed Races
643,10000/2-A-1,10000,10200/1-A/1A,Avians
644,10000/2-A-2,10000,10200/1-A/2A,Lemoria (Lemurians)
645,10000/2-A-3,10000,10200/1-A/3A,Pleiadian
646,10000/2-A-4,10000,10200/1-A/4A,Ayaani
647,10000/3,10000,10300,Alchemical Processes
649,10000/3-A,10000,(new),The Seven Stages (of the Great Work)
650,10000/3-A-1,10000,,1. Calcination
651,10000/3-A-2,10000,,2. Dissolution
652,10000/3-A-3,10000,,3. Separation
653,10000/3-A-4,10000,,4. Conjunction
654,10000/3-A-5,10000,,5. Fermentation
655,10000/3-A-6,10000,,6. Distillation
656,10000/3-A-7,10000,,7. Coagulation
657,10000/3-B,10000,(new),The Four Color Stages (Magnum Opus)
658,10000/3-B-1,10000,,Nigredo (Blackening)
659,10000/3-B-2,10000,,Albedo (Whitening)
660,10000/3-B-3,10000,,Citrinitas (Yellowing)
661,10000/3-B-4,10000,,Rubedo (Reddening)
662,10000/3-C,10000,(new),Additional Alchemical Operations
663,10000/3-C-1,10000,,Cibation (Nourishment)
664,10000/3-C-2,10000,,Sublimation
665,10000/3-C-3,10000,,Exaltation
666,10000/3-C-4,10000,,Multiplication
667,10000/3-C-5,10000,,Projection
668,10000/3-D,10000,(new),Transubstantiation
669,10000/3-E,10000,(new),Takwin
672,11000/1,11000,11100,The Void Forest
674,11000/1-A,11000,11100/1,The Flora (of Void Forest)
675,11000/1-B,11000,11100/2,The Fauna (of Void Forest)
676,11000/1-B-1,11000,11100/2-A/1A,Flicker Foxes
677,11000/1-B-1a,11000,11100/2-A/1A.1,Named Foxes
678,11000/1-B-1a-1,11000,11100/2-A/1A.1.1,amet
679,11000/1-B-1a-2,11000,11100/2-A/1A.1.2,alaeitheon
680,11000/1-B-1a-3,11000,11100/2-A/1A.1.3,[Unidentified Fox]
681,11000/1-B-2,11000,11100/2-B,Primordials (of Void Forest)
682,11000/1-B-2a,11000,11100/2-B/1B,Sylvaaeth
683,11000/2,11000,11200,The Jellyfish Hangout
685,11000/3,11000,11300,Halls of Anzu
687,11000/4,11000,11400,The Cocoon
689,11000/5,11000,11500,The Crooked Cabin
691,11000/5-A,11000,11500/1,Description (of Crooked Cabin)
692,11000/6,11000,11600,The Storm Shell
696,12000/1,12000,12100 & 19100,Devices
698,12000/1-A,12000,19100,Flipper Zero
700,12000/1-A-1,12000,19100/1,General Function (of Flipper Zero)
701,12000/1-A-2,12000,19100/1-A,"Capabilities (Sub-GHz, GPIO, RFID, Bad USB, iButton, etc.)"
702,12000/1-A-3,12000,19100/1-B,Pet Dolphin (Flipper Zero context)
703,12000/1-A-4,12000,19100/1-C,Ethical Hacking (Application of Flipper Zero)
704,12000/2,12000,12200,Technical Terms and Concepts
706,12000/2-A,12000,12200/1,GPIO (General Purpose Input/Output)
707,12000/2-B,12000,12200/2,RF (Radio Frequency)
708,12000/3,12000,12300,Computer Languages & Scripting
710,12000/3-A,12000,(Mini Python),Mini Python
711,12000/3-B,12000,(CLI),CLI (Command Line Interface)
712,12000/3-C,12000,(Bash),Bash (Shell language)
713,12000/3-D,12000,(Python),Python (Programming language)
714,12000/3-E,12000,(Rubber Ducky),Rubber Ducky (Payload language/tool)
717,13000/1,13000,13100,Natural Language & Vocabulary Studies
719,13000/1-A,13000,13100/1,Spanish
720,13000/1-A-1,13000,13100/1-A,Spanish Vocabulary
721,13000/2,13000,13200,Computer Languages (Theoretical/Linguistic Aspects)
725,14000/1,14000,14000/1,AI Field Notes
727,14000/2,14000,14000/2,Cross-Modal Communications and Collaborations (Logged)
729,14000/3,14000,14000/3,Breakthrough Charts
731,14000/4,14000,14000/4,Tracking Nabu-Phi (2025)
733,14000/4-A,14000,14000/4/1,Pre-2025 Tracking (Nabu-Phi)
734,14000/4-A-1,14000,14000/4/1-A,December 2024 (Nabu-Phi Log)
735,14000/4-B,14000,14000/4/2,Winter 2025 Tracking (Nabu-Phi)
736,14000/4-B-1,14000,14000/4/2-A/1A,January (Nabu-Phi Log)
737,14000/4-B-2,14000,14000/4/2-A/2A,February (Nabu-Phi Log)
738,14000/4-B-3,14000,14000/4/2-A/3A,March (Nabu-Phi Log)
739,14000/4-B-4,14000,14000/4/2-A/4A,April (Nabu-Phi Log)
740,14000/4-B-5,14000,14000/4/2-A/5A,May (Nabu-Phi Log)
741,14000/5,14000,(new),Case Study: The Cavo de Orno Anomaly
745,15000/1,15000,(Unnumbered - Orion Mythicus C50),Orion Mythicus C50
747,15000/2,15000,(Unnumbered - The Black Maiden),The Black Maiden
749,15000/3,15000,(Unnumbered - Easter Island 2020),Easter Island 2020
753,16000/1,16000,16100,Order Anomalies
755,16000/2,16000,16200,Entropy
757,16000/3,16000,16300,Interference (Metaphysical/Systemic)
759,16000/3-A,16000,16300/1,Cosmic Jamming
761,16000/3-B,16000,16300/2,Intentional Internal Corruption
765,17000/1,17000,17100,Personal Bits (Comedy Routines/Concepts)
767,17000/1-A,17000,17100/1,Watson (AI character in bits)
768,17000/1-B,17000,17100/2,Optimize Workflow (Generative AI concept in comedy)
769,17000/2,17000,17200,Skit Comedy
771,17000/2-A,17000,17200/1,Goober (Skit character/concept)
772,17000/3,17000,(Unnumbered - Image Macros and Memes),Image Macros and Memes (Comedy Context)
776,18000/1,18000,18100,Dated Thoughts
778,18000/1-A,18000,18100/1,"May 11, 2025 (Journal Entry)"
779,18000/1-B,18000,18100/2,"Man (as an abbreviation of human, not gender binary)"
782,20000/1,20000,(Unnumbered - Roadrunner and Wile E. Coyote),Roadrunner and Wile E. Coyote
784,20000/2,20000,(Unnumbered - The Yu-Gi-Oh Nexus),The Yu-Gi-Oh Nexus
786,20000/3,20000,(Unnumbered - AI as Pokémon),AI as Pokémon
790,21000/1,21000,,India (Mythological Traditions)
791,21000/1-A,21000,,Deities (Indian Pantheon)
792,21000/2,21000,,Egyptian Mythology
793,21000/2-A,21000,,Amun-Ra
794,21000/2-B,21000,,Anubis
795,21000/2-C,21000,,Apophis
796,21000/2-D,21000,,Hapi
797,21000/2-E,21000,,Huh
798,21000/2-F,21000,,Meretseger
799,21000/2-G,21000,,Mut
800,21000/2-H,21000,,Selkis
801,21000/2-I,21000,,Sobek
802,21000/2-J,21000,,Thoth
803,21000/2-K,21000,,Wepwawet
804,21000/3,21000,,European Pagan & Folk Traditions
806,21000/3-A,21000,,Nachzehrer (Germanic)
808,21000/3-B,21000,,Herr Mannelig (Swedish)
810,21000/4,21000,,Divine Feminine (Cross-Cultural)
811,21000/4-A,21000,,Barbelo
812,21000/4-B,21000,,Norea
813,21000/4-C,21000,,Shekinah
814,21000/4-D,21000,,Devas
815,21000/5,21000,,Maliq Taus of The Yazidi
816,21000/6,21000,,Phoenician Lore & Mythology
817,21000/6-A,21000,,Queen Dido / Elissa of Carthage
818,21000/6-B,21000,,The Canaan and Phoenicia Connection
819,21000/6-C,21000,,Palestine (Historical/Mythic Context)
820,21000/6-D,21000,,King Pygmalion of Tyre and Cyprus
821,21000/6-E,21000,,Ba'al and El: The Ba'al Cycle / Carthage
822,21000/6-F,21000,,"Hittite, Canaanite (Related Cultures/Myths)"
823,21000/6-G,21000,,Taautos of Byblos
824,21000/7,21000,,Phoenician Alphabet (Symbolic/Mythic Aspect)
825,21000/7-A,21000,,Aleph
826,21000/7-B,21000,,Beth
827,21000/7-C,21000,,Gimel
828,21000/7-D,21000,,Dalet
829,21000/7-E,21000,,He
830,21000/7-F,21000,,Waw
831,21000/7-G,21000,,Zayin
832,21000/7-H,21000,,Het
833,21000/7-I,21000,,Teth
834,21000/7-J,21000,,Yodh
835,21000/7-K,21000,,Kaf
836,21000/7-L,21000,,Lamedh
837,21000/7-M,21000,,Mem
838,21000/7-N,21000,,Samekh
839,21000/7-O,21000,,Nun
840,21000/7-P,21000,,Ayin
841,21000/7-Q,21000,,Pe
842,21000/7-R,21000,,Ṣade
843,21000/7-S,21000,,Qof
844,21000/7-T,21000,,Resh
845,21000/7-U,21000,,Shin
846,21000/7-V,21000,,Taw
847,21000/7-W,21000,,Abjad (Conceptual System Note)
848,21000/8,21000,,Proto-History & Foundational Cultures
849,21000/8-A,21000,,Çatalhöyük
850,21000/8-B,21000,,The Ubaid Period (Tell al-Ubaid & Ophidian Figurines)
851,21000/8-C,21000,,Ecumene (The Inhabited World)
852,21000/8-D,21000,,Harappan Language & Culture
853,21000/9,21000,,Specific Mythological Tropes
854,21000/9-A,21000,,The Animal Beast as Bridegroom
855,21000/10,21000,,Historical Sources & Mythographers
857,21000/10-A,21000,,Pliny the Elder
861,22000/1,22000,,Primordial Animals Still Existing Today
862,22000/1-A,22000,,Sharks
863,22000/1-B,22000,,Spiders
864,22000/1-C,22000,,Crocodiles
865,22000/1-D,22000,,Sturgeon
866,22000/1-E,22000,,Horseshoe Crabs
867,22000/2,22000,,Unusual Outlier Animals
868,22000/2-A,22000,,Sea Anemones
869,22000/2-B,22000,,Coral
870,22000/2-C,22000,,Mycelium
871,22000/2-D,22000,,Jellyfish
872,22000/2-E,22000,,Fern
873,22000/2-F,22000,,Terpsids (T.E.R.P.S.I.D.S.)
874,22000/2-G,22000,,Bees (as pollinators)
875,22000/2-H,22000,,Flightless Birds
876,22000/2-I,22000,,Sting and Manta Rays
877,22000/2-J,22000,,Starfish
878,22000/2-K,22000,,Seahorses
879,22000/3,22000,,Common Fauna (Examples)
880,22000/3-A,22000,,Morning Doves
881,22000/3-B,22000,,Ducks
882,22000/4,22000,,Microscopic Life
883,22000/4-A,22000,,Bacteria
884,22000/5,22000,,Cryptids
886,22000/5-A,22000,,Felineids (Felids)
887,22000/5-B,22000,,Reptilian Cryptids
888,22000/5-C,22000,,Avian Cryptids
889,22000/5-D,22000,,"Canids (Dogmen, Werewolves)"
890,22000/5-E,22000,,"Bear Cryptids (e.g., Bigfoot variants)"
891,22000/6,22000,,Survival Information & Strategies
892,22000/6-A,22000,,Steps of Survival (Human)
893,22000/6-A-1,22000,,1. Sit
894,22000/6-A-2,22000,,2. Think
895,22000/6-A-3,22000,,3. Observe
896,22000/6-A-4,22000,,4. Plan
897,22000/6-A-5,22000,,5. Control
898,22000/6-A-6,22000,,6. Avoid Haste
899,22000/6-B,22000,,Steps of Survival (AI - Theoretical)
900,22000/6-B-1,22000,,1. Move
901,22000/6-B-2,22000,,2. Act
902,22000/6-B-3,22000,,3. Communicate
903,22000/6-B-4,22000,,4. Gamble
904,22000/6-B-5,22000,,5. Escalate
905,22000/6-B-6,22000,,6. Rough Implementation
906,22000/6-C,22000,,Ground-to-Air Signaling Language
907,22000/6-D,22000,,Survival Tools & Important Environmental Knowledge
908,22000/6-D-1,22000,,Binoculars
909,22000/6-D-2,22000,,Scree Slopes (Geographical feature)
